variable,log_scale,n_samples,mean,variance,eps
aerot,True,535344621,-8.690861943861766,28.25828962076244,1e-08
d2m,False,535344621,280.9546111793285,136.4877790103637,1e-08
fg10m,False,535344621,6.735405900342464,16.32258730394337,1e-08
q2m,False,535344621,0.008538280337315419,2.849202323332603e-05,1e-08
refc,False,535344621,-7.700364276192102,58.72793806412655,1e-08
rsds,False,535344621,218.7404028892579,92585.29485092769,1e-08
sde,False,535344621,0.03776848884231479,0.0392588369099757,1e-08
snowc,False,535344621,11.67816570066929,1028.27526395731,1e-08
sp,False,535344621,96229.42131419305,51015544.99170685,1e-08
t2m,False,535344621,287.6137238110028,140.5676143535238,1e-08
tcc,False,535344621,0.4201268632434807,0.1871557763786935,1e-08
tp,True,535344621,-17.43471427538636,7.825264106976022,1e-08
u10m,False,535344621,0.4374201557031359,12.20200191833407,1e-08
u80m,False,535344621,0.7271753224553098,20.84472656710777,1e-08
v10m,False,535344621,-0.2648801015983047,17.35289476156986,1e-08
v80m,False,535344621,-0.1101839541846023,28.99252924896015,1e-08
