station,source,horizon_label,paper_mae,paper_mse,paper_r2
S-1,nwp,4h,0.200,0.142,0.914
S-1,nwp,12h,0.222,0.177,0.893
S-1,nwp,1d,0.222,0.175,0.894
S-1,nwp,4d,0.242,0.192,0.884
S-1,nwp,7d,0.240,0.200,0.879
S-2,nwp,4h,0.211,0.146,0.891
S-2,nwp,12h,0.229,0.172,0.871
S-2,nwp,1d,0.248,0.186,0.860
S-2,nwp,4d,0.237,0.176,0.869
S-2,nwp,7d,0.230,0.175,0.871
S-3,nwp,4h,0.218,0.175,0.899
S-3,nwp,12h,0.242,0.213,0.876
S-3,nwp,1d,0.244,0.230,0.866
S-3,nwp,4d,0.250,0.251,0.853
S-3,nwp,7d,0.263,0.250,0.853
S-4,nwp,4h,0.196,0.133,0.909
S-4,nwp,12h,0.195,0.139,0.905
S-4,nwp,1d,0.197,0.145,0.900
S-4,nwp,4d,0.207,0.147,0.899
S-4,nwp,7d,0.209,0.147,0.898
S-1,satellite,4h,0.154,0.077,0.953
S-1,satellite,12h,0.170,0.086,0.948
S-1,satellite,1d,0.170,0.085,0.948
S-1,satellite,4d,0.174,0.091,0.945
S-1,satellite,7d,0.167,0.088,0.947
S-2,satellite,4h,0.168,0.097,0.927
S-2,satellite,12h,0.165,0.097,0.927
S-2,satellite,1d,0.170,0.099,0.926
S-2,satellite,4d,0.174,0.118,0.912
S-2,satellite,7d,0.173,0.102,0.925
S-3,satellite,4h,0.186,0.123,0.929
S-3,satellite,12h,0.189,0.135,0.922
S-3,satellite,1d,0.192,0.134,0.922
S-3,satellite,4d,0.193,0.145,0.915
S-3,satellite,7d,0.210,0.159,0.906
S-4,satellite,4h,0.165,0.092,0.937
S-4,satellite,12h,0.171,0.104,0.929
S-4,satellite,1d,0.172,0.103,0.929
S-4,satellite,4d,0.155,0.090,0.938
S-4,satellite,7d,0.204,0.121,0.916
KDASC,satellite,4h,0.050,0.012,0.989
KDASC,satellite,12h,0.047,0.013,0.989
KDASC,satellite,1d,0.050,0.014,0.988
KDASC,satellite,4d,0.056,0.014,0.987
KDASC,satellite,7d,0.058,0.015,0.987
S-1,ai,4h,0.174,0.116,0.930
S-1,ai,12h,0.192,0.116,0.930
S-1,ai,1d,0.195,0.121,0.926
S-1,ai,4d,0.231,0.164,0.901
S-1,ai,7d,0.281,0.214,0.870
S-2,ai,4h,0.213,0.160,0.880
S-2,ai,12h,0.227,0.177,0.867
S-2,ai,1d,0.230,0.180,0.864
S-2,ai,4d,0.278,0.208,0.845
S-2,ai,7d,0.277,0.223,0.836
S-3,ai,4h,0.212,0.159,0.909
S-3,ai,12h,0.231,0.185,0.893
S-3,ai,1d,0.241,0.183,0.893
S-3,ai,4d,0.279,0.245,0.856
S-3,ai,7d,0.314,0.301,0.823
S-4,ai,4h,0.189,0.127,0.913
S-4,ai,12h,0.199,0.139,0.905
S-4,ai,1d,0.192,0.136,0.906
S-4,ai,4d,0.238,0.170,0.883
S-4,ai,7d,0.271,0.198,0.863
